1755312121.159808 server started (655): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1755312121.159849 on Linux 6.2.16 #1-NixOS SMP PREEMPT_DYNAMIC Tue Jan  1 00:00:00 UTC 1980
1755312121.159875 using libevent 2.1.12-stable (poll); ncurses 6.2
1755312121.159952 input_key_build: 0x10e003 (PasteStart) is \033[200~
1755312121.159976 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1755312121.159987 input_key_build: 0x10e099 (F1) is \033OP
1755312121.159997 input_key_build: 0x10e09a (F2) is \033OQ
1755312121.160012 input_key_build: 0x10e09b (F3) is \033OR
1755312121.160021 input_key_build: 0x10e09c (F4) is \033OS
1755312121.160032 input_key_build: 0x10e09d (F5) is \033[15~
1755312121.160040 input_key_build: 0x10e09e (F6) is \033[17~
1755312121.160062 input_key_build: 0x10e09f (F7) is \033[18~
1755312121.160072 input_key_build: 0x10e0a0 (F8) is \033[19~
1755312121.160080 input_key_build: 0x10e0a1 (F9) is \033[20~
1755312121.160089 input_key_build: 0x10e0a2 (F10) is \033[21~
1755312121.160104 input_key_build: 0x10e0a3 (F11) is \033[23~
1755312121.160112 input_key_build: 0x10e0a4 (F12) is \033[24~
1755312121.160124 input_key_build: 0x10e0a5 (IC) is \033[2~
1755312121.160134 input_key_build: 0x10e0a6 (DC) is \033[3~
1755312121.160142 input_key_build: 0x10e0a7 (Home) is \033[1~
1755312121.160151 input_key_build: 0x10e0a8 (End) is \033[4~
1755312121.160160 input_key_build: 0x10e0a9 (NPage) is \033[6~
1755312121.160174 input_key_build: 0x10e0aa (PPage) is \033[5~
1755312121.160183 input_key_build: 0x10e0ab (BTab) is \033[Z
1755312121.160198 input_key_build: 0x10e0ac (Up) is \033[A
1755312121.160210 input_key_build: 0x10e0ad (Down) is \033[B
1755312121.160220 input_key_build: 0x10e0ae (Left) is \033[D
1755312121.160231 input_key_build: 0x10e0af (Right) is \033[C
1755312121.160240 input_key_build: 0x10e0b0 (KP/) is /
1755312121.160249 input_key_build: 0x10e0b1 (KP*) is *
1755312121.160263 input_key_build: 0x10e0b2 (KP-) is -
